id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_275,03,EA156,Rafael Hernandez,Estados Unidos,BQN,,2021-06-01
waybill_complemento_estacion_276,03,EA157,Brownsville/South Padre Island International,Estados Unidos,BRO,,2021-06-01
waybill_complemento_estacion_277,03,EA158,W K Kellogg,Estados Unidos,BTL,,2021-06-01
waybill_complemento_estacion_278,03,EA159,Bert Mooney,Estados Unidos,BTM,,2021-06-01
waybill_complemento_estacion_279,03,EA160,Buffalo Niagara International,Estados Unidos,BUF,,2021-06-01
waybill_complemento_estacion_280,03,EA161,Warren County Regional,Estados Unidos,BWG,,2021-06-01
waybill_complemento_estacion_281,03,EA162,Baltimore/Washington International Thurgood Marshall,Estados Unidos,BWI,,2021-06-01
waybill_complemento_estacion_282,03,EA163,Columbia Metropolitan,Estados Unidos,CAE,,2021-06-01
waybill_complemento_estacion_283,03,EA164,Akron-Canton Regional,Estados Unidos,CAK,,2021-06-01
waybill_complemento_estacion_284,03,EA165,Lovell,Estados Unidos,CHA,,2021-06-01
waybill_complemento_estacion_285,03,EA166,Charleston International,Estados Unidos,CHS,,2021-06-01
waybill_complemento_estacion_286,03,EA167,The Eastern Iowa,Estados Unidos,CID,,2021-06-01
waybill_complemento_estacion_287,03,EA168,Cleveland-Hopkins International,Estados Unidos,CLE,,2021-06-01
waybill_complemento_estacion_288,03,EA169,Easterwood,Estados Unidos,CLL,,2021-06-01
waybill_complemento_estacion_289,03,EA170,Charlotte/Douglas International,Estados Unidos,CLT,,2021-06-01
waybill_complemento_estacion_290,03,EA171,John Glenn Columbus International,Estados Unidos,CMH,,2021-06-01
waybill_complemento_estacion_291,03,EA172,University Of Illinois,Estados Unidos,CMI,,2021-06-01
waybill_complemento_estacion_292,03,EA173,Aeropuerto de Columbia,Estados Unidos,COA,,2021-06-01
waybill_complemento_estacion_293,03,EA174,Columbia Regional,Estados Unidos,COU,,2021-06-01
waybill_complemento_estacion_294,03,EA175,Corpus Christi International,Estados Unidos,CRP,,2021-06-01
waybill_complemento_estacion_295,03,EA176,Columbus,Estados Unidos,CSG,,2021-06-01
waybill_complemento_estacion_296,03,EA177,Cincinnati/Northern Kentucky International,Estados Unidos,CVG,,2021-06-01
waybill_complemento_estacion_297,03,EA178,Dallas Love,Estados Unidos,DAL,,2021-06-01
waybill_complemento_estacion_298,03,EA179,James M Cox Dayton International,Estados Unidos,DAY,,2021-06-01
waybill_complemento_estacion_299,03,EA180,Ronald Reagan,Estados Unidos,DCA,,2021-06-01
waybill_complemento_estacion_300,03,EA181,Denver International,Estados Unidos,DEN,,2021-06-01
waybill_complemento_estacion_301,03,EA182,Dallas-Fort Worth International,Estados Unidos,DFW,,2021-06-01
